Table Code,Control ID,Control Label,Title
SC-1,ac-1,AC-1,Access Control Policy and Procedures
SC-2,ac-2,AC-2,Account Management
SC-3,ac-2.1,AC-2 (1),Automated Information System Account Management
SC-4,ac-2.2,AC-2 (2),Removal of Temporary/Emergency Accounts
SC-5,ac-2.3,AC-2 (3),Disable Inactive Accounts
SC-6,ac-2.4,AC-2 (4),Automated Audit Actions
SC-7,ac-2.5,AC-2 (5),Inactivity Logout
SC-8,ac-2.7,AC-2 (7),Role-Based Schemes
SC-9,ac-2.9,AC-2 (9),Restrictions on Use of Shared Groups/Accounts
SC-10,ac-2.10,AC-2 (10),Shared/Group Account Credential Termination
SC-11,ac-2.12,AC-2 (12),Account Monitoring/Atypical Usage
SC-12,ac-3,AC-3,Access Enforcement
SC-13,ac-3.9,AC-3 (9),Access Enforcement – Controlled Release
SC-14,ac-4,AC-4,Information Flow Enforcement
SC-15,ac-4.21,AC-4 (21),Information Flow Enforcement – Physical/Logical
SC-16,ac-5,AC-5,Separation of Duties
SC-17,ac-6,AC-6,Least Privilege
SC-18,ac-6.1,AC-6 (1),Authorize Access to Security Functions
SC-19,ac-6.2,AC-6 (2),Non-Privileged Access for Non-Security Functions
SC-20,ac-6.5,AC-6 (5),Privileged Accounts
SC-21,ac-6.9,AC-6 (9),Auditing Use of Privileged Functions
SC-22,ac-6.10,AC-6 (10),Prohibit Non-Privileged Users from Executing Privileged Functions
SC-23,ac-7,AC-7,Unsuccessful Logon Attempts
SC-24,ac-8,AC-8,System Use Notification
SC-25,ac-10,AC-10,Concurrent Session Control
SC-26,ac-11,AC-11,Session Lock
SC-27,ac-11.1,AC-11 (1),Pattern-Hiding Displays
SC-28,ac-12,AC-12,Session Termination
SC-29,ac-14,AC-14,Permitted Actions without Identification or Authentication
SC-30,ac-17,AC-17,Remote Access
SC-31,ac-17.1,AC-17 (1),Automated Monitoring/Control
SC-32,ac-17.2,AC-17 (2),Protection of Confidentiality/Integrity Using Encryption
SC-33,ac-17.3,AC-17 (3),Managed Access Control Points
SC-34,ac-17.4,AC-17 (4),Privileged Commands/Access
SC-35,ac-17.9,AC-17 (9),Disconnect/Disable Access
SC-36,ac-18,AC-18,Wireless Access
SC-37,ac-18.1,AC-18 (1),Authentication and Encryption
SC-38,ac-19,AC-19,Access Control for Mobile Device
SC-39,ac-19.5,AC-19 (5),Full-Device / Container-Based Encryption
SC-40,ac-20,AC-20,Use of External Information Systems
SC-41,ac-20.1,AC-20 (1),Limits on Authorized Use
SC-42,ac-20.2,AC-20 (2),Portable Storage Devices
SC-43,ac-20.3,AC-20 (3),Non-Organizationally Owned Systems / Components / Devices
SC-44,ac-21,AC-21,Information Sharing
SC-45,ac-22,AC-22,Publicly Accessible Content
SC-46,at-1,AT-1,Security Awareness and Training Policy and Procedures
SC-47,at-2,AT-2,Security Awareness Training
SC-48,at-2.2,AT-2 (2),Insider Threat
SC-49,at-3,AT-3,Role-Based Security Training
SC-50,at-4,AT-4,Security Training Records
SC-51,au-1,AU-1,Audit and Accountability Policy and Procedures
SC-52,au-2,AU-2,Audit Events
SC-53,au-2.3,AU-2 (3),Reviews and Updates
SC-54,au-3,AU-3,Content of Audit Records
SC-55,au-3.1,AU-3 (1),Additional Audit Information
SC-56,au-4,AU-4,Audit Storage Capacity
SC-57,au-5,AU-5,Response to Audit Processing Failures
SC-58,au-6,AU-6,"Audit Review, Analysis, and Reporting"
SC-59,au-6.1,AU-6 (1),Process Integration
SC-60,au-6.3,AU-6 (3),Correlate Audit Repositories
SC-61,au-7,AU-7,Audit Reduction and Report Generation
SC-62,au-7.1,AU-7 (1),Automatic Processing
SC-63,au-8,AU-8,Time Stamps
SC-64,au-8.1,AU-8 (1),Synchronization with Authoritative Time Source
SC-65,au-9,AU-9,Protection of Audit Information
SC-66,au-9.2,AU-9 (2),Audit Backup on Separate Physical Systems / Components
SC-67,au-9.4,AU-9 (4),Access by Subset of Privileged Users
SC-68,au-11,AU-11,Audit Record Retention
SC-69,au-12,AU-12,Audit Generation
SC-70,ca-1,CA-1,Security Assessment and Authorization Policies and Procedures
SC-71,ca-2,CA-2,Security Assessments
SC-72,ca-2.1,CA-2 (1),Independent Assessors
SC-73,ca-3,CA-3,System Interconnections
SC-74,ca-3.3,CA-3 (3),Unclassified Non-National Security System Connections
SC-75,ca-3.5,CA-3 (5),Restrictions on External System Connections
SC-76,ca-5,CA-5,Plan of Action and Milestones
SC-77,ca-6,CA-6,Security Authorization
SC-78,ca-7,CA-7,Continuous Monitoring
SC-79,ca-7.1,CA-7 (1),Independent Assessment
SC-80,ca-8,CA-8,Penetration Testing
SC-81,ca-8,CA-8(1),Independent Penetration Agent or Team
SC-82,ca-9,CA-9,Internal System Connections
SC-83,cm-1,CM-1,Configuration Management Policy and Procedures
SC-84,cm-2,CM-2,Baseline Configuration
